id,mz_low,mz_high,name,root_region_intensity,spec_id
358,773.5001277669271,773.5477114449295,PG(18:2(9Z_12Z)/18:0)_1,207.0417938232422,dc3284e9-531f-4f3a-b6d9-41aa69732172
359,772.5688270869217,772.6002860482283,PE(14:0/24:1(15Z))_1,278.1928405761719,b0d02151-3d88-4e69-93e4-349fbd8f926c
360,770.5557166392408,770.5849066306287,PE(14:1(9Z)/24:1(15Z))_1,200.11000061035156,fe5e7424-ad63-4a0e-a08a-9651650e19b9
361,760.4969658586091,760.5285457835478,PS(16:0/18:1(9Z))_1,169.43621826171875,551e31e6-2870-42bc-9230-6f8e283c4056
362,757.5561715118711,757.6040041961865,PA(16:0/24:1(15Z))_1,134.28085327148438,bd2ecb02-7ac6-4da0-9172-05e096c2b683
363,755.5424057632592,755.5921678994357,PA(16:1(9Z)/24:1(15Z))_1,140.44760131835938,fbbbe409-fe96-4aba-ab9a-296f36fa99cb
364,751.5135880597933,751.5586867925689,PA(18:0/22:4(7Z_10Z_13Z_16Z))_1,360.8095397949219,1d5565c4-c918-45e0-85b5-27367d03cd4a
365,750.5282969557394,750.5591895876908,PE(P-18:0/20:4(5Z_8Z_11Z_14Z))_1,188.69073486328125,baeec125-90ee-4102-9220-cbae8371cb81
366,749.4948132612574,749.5375067282849,PG(16:0/18:0)_1,429.003173828125,7386de3e-7658-4b2b-ba4f-3b1661a676a4
367,746.5493848461705,746.5846250676633,PE(14:0/22:0)_1,278.3614807128906,e2e158fa-05c1-4091-bcef-118a4ef161e4
368,746.4978647307147,746.5278752845103,PE(O-16:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,169.05943298339844,6d7c3022-ccec-405c-bba2-87ec8dd24674
369,745.4675672636256,745.4941853200355,PA(18:1(11Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,183.91246032714844,c1f8835e-d385-4aa7-8d31-c3cbd322aa25
370,742.526710618387,742.5509800227608,PE(14:0/22:2(13Z_16Z))_1,392.12066650390625,57ac2741-733e-4f71-b357-46cae3ec4989
371,740.5048927217372,740.5398283835019,PE(18:1(11Z)/18:2(9Z_12Z))_1,161.43045043945312,a20b9ffa-dd6c-459b-b02b-39dd486c9524
372,738.4917983167754,738.5196167953371,PE(14:0/22:4(7Z_10Z_13Z_16Z))_1,234.6160125732422,35492830-6b58-431f-a9b5-f6717d97324b
373,729.5304885503813,729.554966723825,PA(14:0/24:1(15Z))_1,146.9650421142578,e712fa16-e4c9-47a0-9735-587e1f168d9e
374,727.5110446719672,727.5548861766424,PA(14:1(9Z)/24:1(15Z))_1,252.82237243652344,d878ed1b-7bad-48d8-9d15-73d0b34e4902
375,725.4924461454505,725.5243145392923,PA(16:1(9Z)/22:2(13Z_16Z))_1,223.20953369140625,abb9e093-cae4-4597-9bea-ce7944469262
376,723.4822388656495,723.5089613065944,PA(16:0/22:4(7Z_10Z_13Z_16Z))_1,458.3922119140625,b0571d04-90ef-4efb-8961-164d729b936a
377,721.4659758320005,721.4948381559116,PA(16:0/22:5(4Z_7Z_10Z_13Z_16Z))_1,213.51112365722656,5d356929-aa72-4105-86fc-d267d5759fbe
378,719.4490362189797,719.4825682157627,PA(16:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z))_1,181.3206024169922,05e537c6-89db-4dcd-8cca-d4d9edf04359
379,716.5114270307886,716.5347569743478,PE(18:1(11Z)/16:0)_1,410.39654541015625,49b10e10-a054-4689-b655-c2817ff761a1
